"('С', 1.0)","('Ү', 0.943)","('Т', 0.929)","('У', 0.903)","('Е', 0.879)","('Ұ', 0.848)","('Г', 0.778)","('Қ', 0.761)","('Р', 0.754)","('Ё', 0.749)","('І', 0.744)","('Ғ', 0.733)","('Щ', 0.689)","('Ц', 0.686)","('О', 0.683)","('Н', 0.679)","('Ң', 0.676)","('Х', 0.657)","('Ч', 0.657)","('Һ', 0.656)","('Б', 0.655)","('Ъ', 0.648)","('К', 0.646)","('З', 0.636)","('П', 0.629)","('Ө', 0.623)","('Л', 0.619)","('Я', 0.614)","('Д', 0.596)","('Ю', 0.576)","('Ы', 0.57)","('А', 0.569)","('Ф', 0.567)","('М', 0.566)","('Й', 0.561)","('Ж', 0.555)","('В', 0.542)","('Ә', 0.538)","('Ь', 0.537)","('И', 0.526)","('Ш', 0.514)","('Э', 0.507)"
"('Е', 1.0)","('С', 0.982)","('Ғ', 0.974)","('І', 0.96)","('Р', 0.958)","('Ұ', 0.952)","('Г', 0.931)","('Ё', 0.911)","('Щ', 0.91)","('Қ', 0.893)","('Ң', 0.874)","('Н', 0.869)","('О', 0.863)","('Ц', 0.844)","('У', 0.829)","('П', 0.803)","('Ү', 0.794)","('Т', 0.792)","('Я', 0.79)","('К', 0.787)","('Б', 0.785)","('Ө', 0.782)","('Х', 0.77)","('Ч', 0.766)","('Һ', 0.736)","('Ю', 0.716)","('Ъ', 0.712)","('Л', 0.704)","('Д', 0.701)","('М', 0.696)","('Ф', 0.684)","('Ы', 0.681)","('Й', 0.68)","('З', 0.675)","('В', 0.662)","('Ж', 0.656)","('И', 0.644)","('А', 0.629)","('Ә', 0.629)","('Ш', 0.604)","('Ь', 0.599)","('Э', 0.58)"
"('З', 1.0)","('Л', 0.851)","('Д', 0.751)","('Ч', 0.738)","('Ц', 0.716)","('Ң', 0.715)","('Э', 0.702)","('А', 0.683)","('О', 0.672)","('Н', 0.666)","('Я', 0.647)","('П', 0.621)","('Щ', 0.621)","('Ө', 0.615)","('Ә', 0.613)","('Р', 0.601)","('Ұ', 0.601)","('Ү', 0.596)","('Т', 0.593)","('Х', 0.582)","('Й', 0.563)","('Ф', 0.556)","('М', 0.553)","('Қ', 0.546)","('Ж', 0.539)","('И', 0.533)","('Е', 0.53)","('С', 0.529)","('Ё', 0.524)","('Ш', 0.522)","('В', 0.521)","('У', 0.514)","('К', 0.512)","('Ы', 0.512)","('Б', 0.511)","('І', 0.508)","('Ъ', 0.503)","('Ғ', 0.491)","('Ю', 0.491)","('Һ', 0.489)","('Г', 0.483)","('Ь', 0.426)"
"('И', 1.0)","('І', 1.0)","('К', 0.995)","('М', 0.994)","('Я', 0.971)","('П', 0.968)","('Б', 0.966)","('Щ', 0.959)","('Ы', 0.956)","('Ф', 0.954)","('Ө', 0.953)","('В', 0.941)","('Й', 0.94)","('Ж', 0.915)","('Ю', 0.914)","('Н', 0.912)","('Ш', 0.912)","('Ғ', 0.903)","('О', 0.898)","('Ң', 0.897)","('Қ', 0.893)","('Һ', 0.892)","('Ё', 0.89)","('Х', 0.89)","('Ь', 0.889)","('Ұ', 0.877)","('Р', 0.872)","('Ц', 0.872)","('У', 0.859)","('Ъ', 0.855)","('Е', 0.851)","('Г', 0.841)","('Ү', 0.841)","('Ә', 0.831)","('Ч', 0.828)","('Д', 0.825)","('Т', 0.816)","('С', 0.803)","('Л', 0.788)","('Э', 0.765)","('А', 0.758)","('З', 0.722)"
"('М', 1.0)","('Т', 0.994)","('Х', 0.984)","('Ү', 0.973)","('Й', 0.97)","('Ф', 0.961)","('Л', 0.958)","('І', 0.946)","('Қ', 0.944)","('И', 0.935)","('В', 0.927)","('Ұ', 0.926)","('Д', 0.917)","('Ә', 0.913)","('К', 0.908)","('Ё', 0.905)","('З', 0.903)","('Б', 0.892)","('Е', 0.892)","('У', 0.891)","('Ж', 0.886)","('Ч', 0.886)","('Р', 0.884)","('Ю', 0.882)","('Ы', 0.868)","('Ғ', 0.866)","('Э', 0.865)","('А', 0.863)","('С', 0.852)","('Ш', 0.836)","('Ө', 0.831)","('Г', 0.813)","('Һ', 0.805)","('Ъ', 0.804)","('П', 0.772)","('О', 0.752)","('Ц', 0.75)","('Щ', 0.741)","('Н', 0.721)","('Ь', 0.681)","('Я', 0.652)","('Ң', 0.572)"
"('І', 1.0)","('Ү', 0.997)","('Ъ', 0.995)","('Ё', 0.986)","('Һ', 0.981)","('Т', 0.98)","('Қ', 0.974)","('Б', 0.96)","('Е', 0.959)","('Р', 0.953)","('Ұ', 0.953)","('К', 0.947)","('Ғ', 0.945)","('У', 0.94)","('Ь', 0.929)","('С', 0.928)","('З', 0.916)","('Ю', 0.914)","('Г', 0.908)","('Ы', 0.895)","('Х', 0.891)","('А', 0.855)","('Щ', 0.85)","('О', 0.845)","('Н', 0.838)","('Ц', 0.838)","('Ч', 0.838)","('Ж', 0.834)","('Л', 0.827)","('Ң', 0.814)","('Ө', 0.804)","('Ф', 0.802)","('П', 0.798)","('Й', 0.794)","('Д', 0.783)","('М', 0.782)","('В', 0.775)","('Ш', 0.767)","('Ә', 0.759)","('Я', 0.747)","('И', 0.739)","('Э', 0.633)"
"('М', 1.0)","('Қ', 0.999)","('Т', 0.969)","('Ф', 0.966)","('Й', 0.965)","('Х', 0.965)","('З', 0.96)","('І', 0.951)","('В', 0.931)","('Ү', 0.926)","('И', 0.925)","('К', 0.923)","('Ә', 0.922)","('Л', 0.918)","('Ё', 0.912)","('Б', 0.911)","('Е', 0.909)","('У', 0.908)","('Д', 0.902)","('Э', 0.899)","('А', 0.895)","('Ж', 0.895)","('Р', 0.892)","('Ю', 0.88)","('Ұ', 0.876)","('Ғ', 0.873)","('С', 0.873)","('Ы', 0.872)","('Ш', 0.848)","('Ө', 0.837)","('Ъ', 0.837)","('Һ', 0.829)","('Г', 0.825)","('Ч', 0.799)","('П', 0.782)","('О', 0.745)","('Щ', 0.726)","('Н', 0.72)","('Ц', 0.706)","('Ь', 0.699)","('Я', 0.668)","('Ң', 0.446)"
"('А', 1.0)","('Д', 0.998)","('О', 0.985)","('Ч', 0.984)","('Н', 0.962)","('Ц', 0.956)","('Ү', 0.949)","('Ң', 0.943)","('Ұ', 0.94)","('Т', 0.916)","('Щ', 0.895)","('Х', 0.865)","('Ө', 0.863)","('П', 0.862)","('Р', 0.861)","('Я', 0.852)","('С', 0.837)","('Л', 0.832)","('Е', 0.83)","('Ә', 0.817)","('Қ', 0.816)","('Э', 0.811)","('Ё', 0.799)","('Ф', 0.775)","('Й', 0.773)","('Ъ', 0.764)","('Б', 0.762)","('Ж', 0.761)","('М', 0.759)","('У', 0.758)","('К', 0.755)","('І', 0.748)","('Һ', 0.741)","('Ы', 0.733)","('В', 0.709)","('Ш', 0.709)","('Г', 0.704)","('Ғ', 0.704)","('И', 0.704)","('Ю', 0.694)","('Ь', 0.62)","('З', 0.578)"
"('Р', 1.0)","('У', 0.972)","('Г', 0.971)","('І', 0.94)","('Ғ', 0.936)","('Я', 0.901)","('Ң', 0.896)","('Т', 0.896)","('Щ', 0.879)","('П', 0.873)","('Н', 0.868)","('Ю', 0.866)","('И', 0.864)","('Ё', 0.857)","('О', 0.857)","('Ү', 0.856)","('Ө', 0.854)","('Е', 0.842)","('Ұ', 0.839)","('Ц', 0.835)","('М', 0.831)","('С', 0.831)","('В', 0.824)","('Й', 0.82)","('К', 0.815)","('Қ', 0.81)","('Ф', 0.802)","('Б', 0.8)","('Д', 0.798)","('Ч', 0.795)","('Ы', 0.794)","('Х', 0.779)","('Ж', 0.77)","('Л', 0.77)","('Ә', 0.765)","('Һ', 0.752)","('Ш', 0.751)","('З', 0.729)","('Ъ', 0.729)","('Э', 0.726)","('А', 0.709)","('Ь', 0.696)"
"('Ф', 1.0)","('Ь', 1.0)","('М', 0.999)","('Р', 0.992)","('Ы', 0.991)","('Ю', 0.985)","('Ж', 0.971)","('Я', 0.971)","('У', 0.963)","('В', 0.959)","('Ғ', 0.956)","('Ч', 0.95)","('Й', 0.942)","('Л', 0.94)","('Ң', 0.94)","('Г', 0.936)","('Д', 0.925)","('Т', 0.921)","('Ө', 0.915)","('П', 0.906)","('С', 0.9)","('А', 0.896)","('З', 0.882)","('Ш', 0.878)","('Ц', 0.877)","('Н', 0.873)","('О', 0.873)","('Ә', 0.859)","('И', 0.857)","('Ё', 0.847)","('Е', 0.801)","('Щ', 0.782)","('І', 0.782)","('Э', 0.78)","('Ү', 0.746)","('Х', 0.741)","('К', 0.712)","('Ъ', 0.688)","('Б', 0.674)","('Һ', 0.67)","('Ұ', 0.624)","('Қ', 0.588)"
"('І', 1.0)","('Б', 0.993)","('Ы', 0.993)","('Ш', 0.992)","('Ю', 0.991)","('Э', 0.985)","('А', 0.984)","('Қ', 0.98)","('Т', 0.976)","('К', 0.971)","('Ү', 0.969)","('З', 0.962)","('Ё', 0.959)","('Ж', 0.948)","('Е', 0.93)","('Ә', 0.927)","('Р', 0.919)","('Ъ', 0.901)","('У', 0.899)","('Һ', 0.898)","('И', 0.892)","('Ұ', 0.889)","('Ғ', 0.886)","('Х', 0.883)","('В', 0.878)","('С', 0.878)","('Л', 0.861)","('Й', 0.859)","('Ф', 0.855)","('Г', 0.833)","('М', 0.806)","('Ч', 0.802)","('Д', 0.796)","('Ь', 0.768)","('О', 0.678)","('Ц', 0.678)","('Ө', 0.67)","('Щ', 0.648)","('Н', 0.645)","('П', 0.606)","('Ң', 0.589)","('Я', 0.388)"
"('Л', 1.0)","('Ц', 0.946)","('Т', 0.945)","('Ү', 0.92)","('Ң', 0.916)","('Ч', 0.913)","('О', 0.903)","('Н', 0.888)","('Д', 0.887)","('Р', 0.882)","('Ұ', 0.869)","('Щ', 0.827)","('З', 0.821)","('А', 0.813)","('С', 0.802)","('Я', 0.799)","('П', 0.793)","('Ө', 0.786)","('Е', 0.78)","('Х', 0.761)","('У', 0.752)","('Қ', 0.749)","('Ё', 0.747)","('Ә', 0.728)","('Э', 0.725)","('І', 0.709)","('Й', 0.703)","('Ф', 0.696)","('Г', 0.694)","('Ғ', 0.694)","('М', 0.69)","('Б', 0.687)","('К', 0.684)","('Ж', 0.677)","('Ъ', 0.673)","('Һ', 0.662)","('Ы', 0.662)","('И', 0.654)","('В', 0.647)","('Ю', 0.641)","('Ш', 0.635)","('Ь', 0.558)"
"('А', 1.0)","('Ұ', 0.998)","('Т', 0.992)","('О', 0.991)","('Д', 0.99)","('Ч', 0.989)","('Н', 0.985)","('Ү', 0.973)","('Ң', 0.95)","('Ц', 0.947)","('Щ', 0.923)","('С', 0.921)","('Р', 0.908)","('Е', 0.904)","('Х', 0.897)","('Ө', 0.885)","('П', 0.883)","('Л', 0.868)","('Я', 0.864)","('Қ', 0.861)","('Ё', 0.859)","('Ә', 0.829)","('У', 0.813)","('Ъ', 0.81)","('Б', 0.805)","('Э', 0.804)","('Ф', 0.798)","('Й', 0.796)","('К', 0.796)","('І', 0.795)","('Һ', 0.789)","('Ж', 0.786)","('М', 0.782)","('Ы', 0.766)","('Г', 0.755)","('Ғ', 0.749)","('В', 0.731)","('Ш', 0.728)","('Ю', 0.727)","('И', 0.723)","('З', 0.69)","('Ь', 0.655)"
"('Р', 1.0)","('Ғ', 0.988)","('У', 0.927)","('Г', 0.898)","('Т', 0.867)","('І', 0.805)","('Ң', 0.8)","('Ү', 0.786)","('Я', 0.767)","('Н', 0.762)","('Щ', 0.761)","('С', 0.755)","('О', 0.753)","('Е', 0.748)","('Ё', 0.747)","('Ұ', 0.743)","('П', 0.742)","('Ц', 0.735)","('Ө', 0.724)","('Қ', 0.693)","('Ч', 0.693)","('Ю', 0.693)","('Д', 0.691)","('И', 0.689)","('М', 0.678)","('Й', 0.676)","('К', 0.674)","('Л', 0.674)","('Б', 0.664)","('Ф', 0.659)","('В', 0.658)","('Х', 0.658)","('Ы', 0.649)","('З', 0.646)","('Ә', 0.639)","('Ж', 0.632)","('Һ', 0.624)","('Ъ', 0.608)","('Э', 0.607)","('Ш', 0.606)","('А', 0.605)","('Ь', 0.557)"
"('М', 1.0)","('Қ', 0.999)","('Т', 0.969)","('Ф', 0.966)","('Й', 0.965)","('Х', 0.965)","('З', 0.96)","('І', 0.951)","('В', 0.931)","('Ү', 0.926)","('И', 0.925)","('К', 0.923)","('Ә', 0.922)","('Л', 0.918)","('Ё', 0.912)","('Б', 0.911)","('Е', 0.909)","('У', 0.908)","('Д', 0.902)","('Э', 0.899)","('А', 0.895)","('Ж', 0.895)","('Р', 0.892)","('Ю', 0.88)","('Ұ', 0.876)","('Ғ', 0.873)","('С', 0.873)","('Ы', 0.872)","('Ш', 0.848)","('Ө', 0.837)","('Ъ', 0.837)","('Һ', 0.829)","('Г', 0.825)","('Ч', 0.799)","('П', 0.782)","('О', 0.745)","('Щ', 0.726)","('Н', 0.72)","('Ц', 0.706)","('Ь', 0.699)","('Я', 0.668)","('Ң', 0.446)"
"('А', 1.0)","('О', 0.997)","('Ч', 0.992)","('Ұ', 0.988)","('Т', 0.987)","('Д', 0.985)","('Ү', 0.983)","('Н', 0.975)","('Ц', 0.958)","('Ң', 0.946)","('Щ', 0.916)","('С', 0.915)","('Р', 0.903)","('Е', 0.897)","('Х', 0.893)","('Ө', 0.879)","('П', 0.878)","('Л', 0.875)","('Я', 0.861)","('Қ', 0.858)","('Ё', 0.854)","('Ә', 0.829)","('У', 0.812)","('Ъ', 0.809)","('Э', 0.809)","('Б', 0.802)","('Ф', 0.796)","('Й', 0.794)","('К', 0.793)","('І', 0.792)","('Һ', 0.787)","('Ж', 0.785)","('М', 0.78)","('Ы', 0.764)","('Г', 0.755)","('Ғ', 0.748)","('В', 0.73)","('Ш', 0.729)","('Ю', 0.725)","('И', 0.723)","('З', 0.677)","('Ь', 0.656)"
"('Н', 1.0)","('О', 0.98)","('Ч', 0.971)","('Щ', 0.957)","('П', 0.943)","('Ц', 0.942)","('Д', 0.926)","('Л', 0.922)","('Я', 0.902)","('Ө', 0.898)","('Ұ', 0.828)","('Р', 0.825)","('З', 0.819)","('Э', 0.793)","('Ү', 0.791)","('Х', 0.791)","('М', 0.774)","('Т', 0.768)","('Ә', 0.757)","('Й', 0.757)","('Ф', 0.753)","('Қ', 0.746)","('А', 0.742)","('И', 0.734)","('В', 0.725)","('Ж', 0.703)","('І', 0.696)","('К', 0.692)","('Б', 0.685)","('Ң', 0.684)","('Ё', 0.682)","('Е', 0.679)","('Ш', 0.679)","('У', 0.677)","('Ы', 0.673)","('Ю', 0.668)","('С', 0.66)","('Ғ', 0.654)","('Ъ', 0.644)","('Һ', 0.632)","('Г', 0.625)","('Ь', 0.543)"
"('Д', 1.0)","('О', 0.93)","('Ц', 0.922)","('З', 0.914)","('Н', 0.893)","('А', 0.87)","('Л', 0.839)","('Ө', 0.784)","('П', 0.774)","('Щ', 0.772)","('Ч', 0.763)","('Ң', 0.76)","('Ә', 0.744)","('Я', 0.742)","('Ұ', 0.74)","('Ү', 0.729)","('Р', 0.727)","('Т', 0.704)","('Й', 0.696)","('Х', 0.694)","('Е', 0.684)","('Ф', 0.684)","('Ё', 0.683)","('Ж', 0.668)","('С', 0.667)","('М', 0.663)","('Э', 0.657)","('Ы', 0.64)","('Б', 0.635)","('К', 0.634)","('Қ', 0.625)","('І', 0.62)","('И', 0.61)","('Ш', 0.605)","('В', 0.604)","('Ъ', 0.602)","('Һ', 0.601)","('У', 0.6)","('Ю', 0.594)","('Ғ', 0.568)","('Г', 0.56)","('Ь', 0.497)"
"('А', 1.0)","('Ұ', 0.998)","('Т', 0.992)","('О', 0.991)","('Д', 0.99)","('Ч', 0.989)","('Н', 0.985)","('Ү', 0.973)","('Ң', 0.95)","('Ц', 0.947)","('Щ', 0.923)","('С', 0.921)","('Р', 0.908)","('Е', 0.904)","('Х', 0.897)","('Ө', 0.885)","('П', 0.883)","('Л', 0.868)","('Я', 0.864)","('Қ', 0.861)","('Ё', 0.859)","('Ә', 0.829)","('У', 0.813)","('Ъ', 0.81)","('Б', 0.805)","('Э', 0.804)","('Ф', 0.798)","('Й', 0.796)","('К', 0.796)","('І', 0.795)","('Һ', 0.789)","('Ж', 0.786)","('М', 0.782)","('Ы', 0.766)","('Г', 0.755)","('Ғ', 0.749)","('В', 0.731)","('Ш', 0.728)","('Ю', 0.727)","('И', 0.723)","('З', 0.69)","('Ь', 0.655)"
"('Р', 1.0)","('Ғ', 0.988)","('У', 0.927)","('Г', 0.898)","('Т', 0.867)","('І', 0.805)","('Ң', 0.8)","('Ү', 0.786)","('Я', 0.767)","('Н', 0.762)","('Щ', 0.761)","('С', 0.755)","('О', 0.753)","('Е', 0.748)","('Ё', 0.747)","('Ұ', 0.743)","('П', 0.742)","('Ц', 0.735)","('Ө', 0.724)","('Қ', 0.693)","('Ч', 0.693)","('Ю', 0.693)","('Д', 0.691)","('И', 0.689)","('М', 0.678)","('Й', 0.676)","('К', 0.674)","('Л', 0.674)","('Б', 0.664)","('Ф', 0.659)","('В', 0.658)","('Х', 0.658)","('Ы', 0.649)","('З', 0.646)","('Ә', 0.639)","('Ж', 0.632)","('Һ', 0.624)","('Ъ', 0.608)","('Э', 0.607)","('Ш', 0.606)","('А', 0.605)","('Ь', 0.557)"
"('Ь', 1.0)","('Ъ', 0.968)","('Қ', 0.96)","('Ұ', 0.953)","('Х', 0.935)","('І', 0.932)","('Ю', 0.929)","('Щ', 0.925)","('Ё', 0.919)","('Е', 0.914)","('Ү', 0.888)","('Һ', 0.877)","('К', 0.876)","('Б', 0.87)","('Ы', 0.863)","('П', 0.861)","('Ө', 0.854)","('Н', 0.848)","('В', 0.843)","('М', 0.843)","('У', 0.842)","('О', 0.841)","('С', 0.835)","('Ф', 0.829)","('Ғ', 0.824)","('Ц', 0.824)","('Я', 0.82)","('Ж', 0.809)","('Ң', 0.806)","('Т', 0.805)","('Г', 0.794)","('Й', 0.786)","('Р', 0.784)","('Ч', 0.778)","('Ш', 0.753)","('И', 0.745)","('Д', 0.723)","('Л', 0.715)","('Ә', 0.703)","('А', 0.695)","('З', 0.669)","('Э', 0.638)"
"('К', 1.0)","('І', 1.0)","('Қ', 0.995)","('Ә', 0.989)","('Ж', 0.983)","('Т', 0.982)","('Б', 0.979)","('И', 0.974)","('Ю', 0.967)","('Ү', 0.959)","('В', 0.956)","('Ы', 0.956)","('Ё', 0.951)","('Й', 0.927)","('Е', 0.926)","('Ф', 0.923)","('Ш', 0.923)","('Х', 0.921)","('А', 0.919)","('З', 0.917)","('Л', 0.916)","('Э', 0.916)","('Р', 0.907)","('У', 0.898)","('Ұ', 0.882)","('Ғ', 0.879)","('М', 0.877)","('С', 0.871)","('Һ', 0.87)","('Ъ', 0.868)","('Д', 0.86)","('Ч', 0.844)","('Г', 0.824)","('Ь', 0.733)","('Ө', 0.71)","('Ц', 0.688)","('О', 0.676)","('П', 0.639)","('Н', 0.637)","('Щ', 0.63)","('Ң', 0.581)","('Я', 0.491)"
